reference_no,start_year,end_year,publish_year,country,region,latitude,longitude,pollinator_order,pollinator_family,pollinator_species,study_method,trend,decline_value,sample_size,yi,vi,continent,driver
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus insularis,Historical,Decline,-0.556,1025,-0.811930717,0.000976,North America,Climate
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus pensylvanicus,Historical,Decline,-0.656,2024,-1.067113622,0.000494,North America,Multiple
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus pensylvanicus,Historical,Decline,-0.656,2024,-1.067113622,0.000494,North America,Habitat
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus pensylvanicus,Historical,Decline,-0.656,2024,-1.067113622,0.000494,North America,Pathogens
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus pensylvanicus,Historical,Decline,-0.656,2024,-1.067113622,0.000494,North America,Climate
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus perplexus,Historical,Stable,-0.369,1735,-0.460449416,0.000576,North America,Multiple
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus perplexus,Historical,Stable,-0.369,1735,-0.460449416,0.000576,North America,Habitat
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus perplexus,Historical,Stable,-0.369,1735,-0.460449416,0.000576,North America,Pathogens
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus perplexus,Historical,Stable,-0.369,1735,-0.460449416,0.000576,North America,Climate
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus sandersoni,Historical,Decline,-0.732,472,-1.316768298,0.002118644,North America,Multiple
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus sandersoni,Historical,Decline,-0.732,472,-1.316768298,0.002118644,North America,Habitat
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus sandersoni,Historical,Decline,-0.732,472,-1.316768298,0.002118644,North America,Pathogens
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus sandersoni,Historical,Decline,-0.732,472,-1.316768298,0.002118644,North America,Climate
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus ternarius,Historical,Decline,-0.278,2502,-0.32573014,0.0004,North America,Multiple
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus ternarius,Historical,Decline,-0.278,2502,-0.32573014,0.0004,North America,Habitat
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus ternarius,Historical,Decline,-0.278,2502,-0.32573014,0.0004,North America,Pathogens
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus ternarius,Historical,Decline,-0.278,2502,-0.32573014,0.0004,North America,Climate
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus terricola,Historical,Decline,-0.482,3724,-0.657780037,0.000269,North America,Multiple
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus terricola,Historical,Decline,-0.482,3724,-0.657780037,0.000269,North America,Habitat
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus terricola,Historical,Decline,-0.482,3724,-0.657780037,0.000269,North America,Pathogens
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus terricola,Historical,Decline,-0.482,3724,-0.657780037,0.000269,North America,Climate
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus vagans,Historical,Decline,-0.369,3965,-0.460449416,0.000252,North America,Multiple
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus vagans,Historical,Decline,-0.369,3965,-0.460449416,0.000252,North America,Habitat
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus vagans,Historical,Decline,-0.369,3965,-0.460449416,0.000252,North America,Pathogens
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus vagans,Historical,Decline,-0.369,3965,-0.460449416,0.000252,North America,Climate
H13,1999,2014,2016,USA,Coastal California ,36.6706,-121.5903,Hymenoptera,Apidae,Bombus spp. (B. vosnesenskii / B. caliginosus complex),Field,Decline,-0.11,85,-0.116533816,0.011764706,North America,Multiple
H13,1999,2014,2016,USA,Coastal California ,36.6706,-121.5903,Hymenoptera,Apidae,Bombus spp. (B. vosnesenskii / B. caliginosus complex),Field,Decline,-0.11,85,-0.116533816,0.011764706,North America,Climate
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa imperialis,Field,Decline,-0.38,786,-0.478035801,0.001272265,North America,Multiple
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa imperialis,Field,Decline,-0.38,786,-0.478035801,0.001272265,North America,Climate
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa imperialis,Field,Decline,-0.38,786,-0.478035801,0.001272265,North America,Pesticides
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa imperialis,Field,Decline,-0.38,786,-0.478035801,0.001272265,North America,Urbanization
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa tridentata,Field,Decline,-0.65,693,-1.049822124,0.001443001,North America,Multiple
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa tridentata,Field,Decline,-0.65,693,-1.049822124,0.001443001,North America,Climate
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa tridentata,Field,Decline,-0.65,693,-1.049822124,0.001443001,North America,Pesticides
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa tridentata,Field,Decline,-0.65,693,-1.049822124,0.001443001,North America,Urbanization
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa hansoni,Field,Decline,-0.6,294,-0.916290732,0.003401361,North America,Multiple
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa hansoni,Field,Decline,-0.6,294,-0.916290732,0.003401361,North America,Climate
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa hansoni,Field,Decline,-0.6,294,-0.916290732,0.003401361,North America,Pesticides
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa hansoni,Field,Decline,-0.6,294,-0.916290732,0.003401361,North America,Urbanization
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa deceptrix,Field,Decline,-0.3,281,-0.356674944,0.003558719,North America,Multiple
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa deceptrix,Field,Decline,-0.3,281,-0.356674944,0.003558719,North America,Climate
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa deceptrix,Field,Decline,-0.3,281,-0.356674944,0.003558719,North America,Pesticides
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa deceptrix,Field,Decline,-0.3,281,-0.356674944,0.003558719,North America,Urbanization
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa variabilis,Field,Decline,-0.35,235,-0.430782916,0.004255319,North America,Multiple
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa variabilis,Field,Decline,-0.35,235,-0.430782916,0.004255319,North America,Climate
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa variabilis,Field,Decline,-0.35,235,-0.430782916,0.004255319,North America,Pesticides
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa variabilis,Field,Decline,-0.35,235,-0.430782916,0.004255319,North America,Urbanization
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa despecta,Field,Decline,-0.55,121,-0.798507696,0.008264463,North America,Multiple
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa despecta,Field,Decline,-0.55,121,-0.798507696,0.008264463,North America,Climate
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa despecta,Field,Decline,-0.55,121,-0.798507696,0.008264463,North America,Pesticides
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa despecta,Field,Decline,-0.55,121,-0.798507696,0.008264463,North America,Urbanization
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa ignita,Field,Decline,-0.4,105,-0.510825624,0.00952381,North America,Multiple
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa ignita,Field,Decline,-0.4,105,-0.510825624,0.00952381,North America,Climate
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa ignita,Field,Decline,-0.4,105,-0.510825624,0.00952381,North America,Pesticides
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa ignita,Field,Decline,-0.4,105,-0.510825624,0.00952381,North America,Urbanization
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa flammea,Field,Decline,-0.7,99,-1.203972804325936,0.0101010101010101,North America,Multiple
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa flammea,Field,Decline,-0.7,99,-1.203972804325936,0.0101010101010101,North America,Climate
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa flammea,Field,Decline,-0.7,99,-1.203972804325936,0.0101010101010101,North America,Pesticides
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa flammea,Field,Decline,-0.7,99,-1.203972804325936,0.0101010101010101,North America,Urbanization
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa gorgonensis,Field,Decline,-0.65,73,-1.0498221244986778,0.0136986301369863,North America,Multiple
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa gorgonensis,Field,Decline,-0.65,73,-1.0498221244986778,0.0136986301369863,North America,Climate
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa gorgonensis,Field,Decline,-0.65,73,-1.0498221244986778,0.0136986301369863,North America,Pesticides
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa gorgonensis,Field,Decline,-0.65,73,-1.0498221244986778,0.0136986301369863,North America,Urbanization
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa bursigera,Field,Decline,-0.35,67,-0.4307829160924542,0.0149253731343283,North America,Multiple
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa bursigera,Field,Decline,-0.35,67,-0.4307829160924542,0.0149253731343283,North America,Climate
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa bursigera,Field,Decline,-0.35,67,-0.4307829160924542,0.0149253731343283,North America,Pesticides
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa bursigera,Field,Decline,-0.35,67,-0.4307829160924542,0.0149253731343283,North America,Urbanization
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa sapphirina,Field,Decline,-0.55,44,-0.7985076962177717,0.0227272727272727,North America,Multiple
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa sapphirina,Field,Decline,-0.55,44,-0.7985076962177717,0.0227272727272727,North America,Climate
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa sapphirina,Field,Decline,-0.55,44,-0.7985076962177717,0.0227272727272727,North America,Pesticides
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa sapphirina,Field,Decline,-0.55,44,-0.7985076962177717,0.0227272727272727,North America,Urbanization
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa cyanaspis,Field,Decline,-0.9,36,-2.302585092994046,0.0277777777777777,North America,Multiple
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa cyanaspis,Field,Decline,-0.9,36,-2.302585092994046,0.0277777777777777,North America,Climate
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa cyanaspis,Field,Decline,-0.9,36,-2.302585092994046,0.0277777777777777,North America,Pesticides
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa cyanaspis,Field,Decline,-0.9,36,-2.302585092994046,0.0277777777777777,North America,Urbanization
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa heterosticta,Field,Decline,-0.2,36,-0.223143551,0.027777778,North America,Multiple
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa heterosticta,Field,Decline,-0.2,36,-0.223143551,0.027777778,North America,Climate
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa heterosticta,Field,Decline,-0.2,36,-0.223143551,0.027777778,North America,Pesticides
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa heterosticta,Field,Decline,-0.2,36,-0.223143551,0.027777778,North America,Urbanization
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa dissimula,Field,Decline,-0.75,30,-1.3862943611198906,0.0333333333333333,North America,Multiple
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa dissimula,Field,Decline,-0.75,30,-1.3862943611198906,0.0333333333333333,North America,Climate
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa dissimula,Field,Decline,-0.75,30,-1.3862943611198906,0.0333333333333333,North America,Pesticides
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa dissimula,Field,Decline,-0.75,30,-1.3862943611198906,0.0333333333333333,North America,Urbanization
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa dodsoni,Field,Decline,-0.9,27,-2.302585092994046,0.037037037037037,North America,Multiple
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa dodsoni,Field,Decline,-0.9,27,-2.302585092994046,0.037037037037037,North America,Climate
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa dodsoni,Field,Decline,-0.9,27,-2.302585092994046,0.037037037037037,North America,Pesticides
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa dodsoni,Field,Decline,-0.9,27,-2.302585092994046,0.037037037037037,North America,Urbanization
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa allosticta,Field,Decline,-0.8,26,-1.6094379124341005,0.0384615384615384,North America,Multiple
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa allosticta,Field,Decline,-0.8,26,-1.6094379124341005,0.0384615384615384,North America,Climate
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa allosticta,Field,Decline,-0.8,26,-1.6094379124341005,0.0384615384615384,North America,Pesticides
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa allosticta,Field,Decline,-0.8,26,-1.6094379124341005,0.0384615384615384,North America,Urbanization
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa asarophora,Field,Decline,-0.7,13,-1.203972804325936,0.0769230769230769,North America,Multiple
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa asarophora,Field,Decline,-0.7,13,-1.203972804325936,0.0769230769230769,North America,Climate
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa asarophora,Field,Decline,-0.7,13,-1.203972804325936,0.0769230769230769,North America,Pesticides
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa asarophora,Field,Decline,-0.7,13,-1.203972804325936,0.0769230769230769,North America,Urbanization
