reference_no,start_year,end_year,publish_year,country,region,latitude,longitude,pollinator_order,pollinator_family,pollinator_species,study_method,trend,drivers_reported,decline_value,sample_size,source_sheet,order_raw,family_raw,row_id,continent,x22,notes,x24,row_id_2,pollinator_order_norm,pollinator_family_norm,family_raw_norm,fig_s3_zhong_chu_xian_de_you_xiao_chuan_fen_zhe,x25,x26,x27,x28,x29,x30,order_key,yi,vi,effect_id,study_method_clean,pesticide,habitat,climate,pesticide_z,habitat_z,climate_z
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43,-79,Hymenoptera,Apidae,Bombus vagans,Historical,Decline,"Multiple, Habitat, Pathogens, Climate",-0.369,3965,Hymenoptera,Hymenoptera,Apidae,51,North America,NA,NA,NA,51,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.4604494164409239,2.5220680958385876e-4,24,Historical,0.6905025585606137,0.6132229942233703,0.40168002491249244,0.1206159368282748,0.7501551604073166,-0.6668550150572857
H13,1999,2014,2016,USA,Coastal California ,36.6706,-121.5903,Hymenoptera,Apidae,Bombus spp. (B. vosnesenskii / B. caliginosus complex),Field,Decline,"Multiple, Climate, Competition",-0.11,85,Hymenoptera,Hymenoptera,Apidae,54,North America,NA,NA,NA,54,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.11653381625595152,0.01176470588235294,25,Field,1,0.6452366674411604,0.5767699468989033,1.102209684133432,0.8627897747373177,1.3933496872019997
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa imperialis,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.38,786,Hymenoptera,Hymenoptera,Apidae,64,North America,NA,"Species-level abundance trajectories were extracted from Figure 3 using WebPlotDigitizer (Burda et al., 2017).  For each species, canopy (solid line with circles) and understory (dashed line with triangles) counts were digitised at each sampling date and combined as total abundance = canopy + understory for that date.  Temporal trends were estimated by fitting a linear regression log(total abundance + 1) ~ year, using all digitised time points to minimise subjectivity associated with start–end comparisons and to accommodate zero observations.  The fitted slope (β) was converted to an annual proportional change as Decline_Value = exp(β) − 1.  Sample_Size represents the total number of individuals collected per species as reported in Table I (“Number collected”), while the number of digitised observations used in the regression is recorded as [n_timepoints] (e.g., 12 dates × 1 total series per species).Sample_Size corresponds to Table I ‘Number collected’, i.e., the total number of individuals captured for each Euglossa species across the entire study period (2013–2017). This value represents overall sampling intensity (total individuals), not the number of digitised time points used for trend estimation.",NA,64,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.4780358009429998,0.00127226463104325,26,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa tridentata,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.65,693,Hymenoptera,Hymenoptera,Apidae,65,North America,NA,NA,NA,65,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.0498221244986778,0.00144300144300144,27,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa hansoni,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.6,294,Hymenoptera,Hymenoptera,Apidae,66,North America,NA,NA,NA,66,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.916290731874155,0.00340136054421768,28,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa deceptrix,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.3,281,Hymenoptera,Hymenoptera,Apidae,67,North America,NA,NA,NA,67,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.35667494393873245,0.00355871886120996,29,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa variabilis,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.35,235,Hymenoptera,Hymenoptera,Apidae,68,North America,NA,NA,NA,68,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.4307829160924542,0.00425531914893617,30,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa despecta,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.55,121,Hymenoptera,Hymenoptera,Apidae,69,North America,NA,NA,NA,69,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.7985076962177717,0.00826446280991735,31,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa ignita,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.4,105,Hymenoptera,Hymenoptera,Apidae,70,North America,NA,NA,NA,70,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.5108256237659907,0.00952380952380952,32,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa flammea,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.7,105,Hymenoptera,Hymenoptera,Apidae,71,North America,NA,NA,NA,71,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.203972804325936,0.00952380952380952,33,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa gorgonensis,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.65,99,Hymenoptera,Hymenoptera,Apidae,72,North America,NA,NA,NA,72,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.0498221244986778,0.0101010101010101,34,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa bursigera,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.35,73,Hymenoptera,Hymenoptera,Apidae,73,North America,NA,NA,NA,73,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.4307829160924542,0.0136986301369863,35,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa sapphirina,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.55,67,Hymenoptera,Hymenoptera,Apidae,74,North America,NA,NA,NA,74,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.7985076962177717,0.01492537313432835,36,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa cyanaspis,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.9,44,Hymenoptera,Hymenoptera,Apidae,75,North America,NA,NA,NA,75,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-2.302585092994046,0.02272727272727272,37,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa heterosticta,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.2,36,Hymenoptera,Hymenoptera,Apidae,76,North America,NA,NA,NA,76,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.2231435513142097,0.02777777777777777,38,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa dissimula,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.75,36,Hymenoptera,Hymenoptera,Apidae,77,North America,NA,NA,NA,77,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.3862943611198906,0.02777777777777777,39,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa dodsoni,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.9,30,Hymenoptera,Hymenoptera,Apidae,78,North America,NA,NA,NA,78,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-2.302585092994046,0.03333333333333333,40,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa allosticta,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.8,27,Hymenoptera,Hymenoptera,Apidae,79,North America,NA,NA,NA,79,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.6094379124341005,0.03703703703703703,41,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa asarophora,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.7,22,Hymenoptera,Hymenoptera,Apidae,81,North America,NA,NA,NA,81,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.203972804325936,0.04545454545454545,42,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa mixta,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.8500000000000001,13,Hymenoptera,Hymenoptera,Apidae,82,North America,NA,NA,NA,82,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.897119984885882,0.07692307692307693,43,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa crassipunctata,Field,Recovery,"Multiple, Climate, Pesticides, Urbanization",0.1,12,Hymenoptera,Hymenoptera,Apidae,83,North America,NA,NA,NA,83,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,0.09531017980432492,0.08333333333333333,44,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa dressleri,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.8,9,Hymenoptera,Hymenoptera,Apidae,84,North America,NA,NA,NA,84,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.6094379124341005,0.1111111111111111,45,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa championi,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.8500000000000001,8,Hymenoptera,Hymenoptera,Apidae,85,North America,NA,NA,NA,85,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.897119984885882,0.125,46,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa turbinifex,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",0.4,7,Hymenoptera,Hymenoptera,Apidae,86,North America,NA,NA,NA,86,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,0.3364722366212129,0.14285714285714285,47,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
H23,2013,2017,2020,Panama,Darien NP,8.0178,-77.7327,Hymenoptera,Apidae,Euglossa cognata,Field,Decline,"Multiple, Climate, Pesticides, Urbanization",-0.9,3,Hymenoptera,Hymenoptera,Apidae,87,North America,NA,NA,NA,87,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-2.302585092994046,0.3333333333333333,48,Field,0.20239973967464348,0.019601727960332993,0.5781676013453788,-1.4274378138982018,-1.33839937467392,1.409795261168193
